url,title,publisher,time
https://baomoi.com/he-thong-may-chu-mail-mot-so-co-quan-to-chuc-tai-viet-nam-bi-xam-nhap/c/43879824.epi,"Hệ thống máy chủ mail một số cơ quan, tổ chức tại Việt Nam bị xâm nhập",Báo VietnamPlus,2022-10-01T12:21:00+07:00
https://baomoi.com/nguoi-viet-o-chau-au-tat-bot-den-giam-nau-nuong/c/43879965.epi,"Người Việt ở châu Âu tắt bớt đèn, giảm nấu nướng",Báo Người Lao Động,2022-10-01T12:49:00+07:00
https://baomoi.com/iphone-6-thanh-may-co/c/43879178.epi,iPhone 6 thành máy cổ,Tạp chí Tri Thức Trực Tuyến,2022-10-01T11:06:10+07:00
https://baomoi.com/apple-se-cho-phep-dung-thu-ket-noi-ve-tinh-cua-iphone-14/c/22548128.epi,Apple sẽ cho phép dùng thử kết nối vệ tinh của iPhone 14,Báo Công Lý,2022-10-01T11:34:00+07:00
https://baomoi.com/ra-mat-nen-tang-thong-tin-ve-chuyen-doi-nang-luong-tai-dong-nam-a/c/43880059.epi,Ra mắt nền tảng thông tin vể Chuyển đổi năng lượng tại Đông Nam Á,Báo Đầu Tư,2022-10-01T13:05:00+07:00
https://baomoi.com/tinh-nang-smartphone-samsung-van-tot-hon-iphone-14-pro/c/43879810.epi,Tính năng smartphone Samsung vẫn tốt hơn iPhone 14 Pro,Tạp chí Tri Thức Trực Tuyến,2022-10-01T12:33:32+07:00
https://baomoi.com/du-an-fdi-dau-tien-dat-chung-nhan-vang-leed-cua-dan-mach-tai-an-giang-di-vao-hoat-dong/c/43879741.epi,Dự án FDI đầu tiên đạt chứng nhận vàng LEED của Đan Mạch tại An Giang đi vào hoạt động,Báo Đầu Tư Chứng Khoán,2022-10-01T12:06:14+07:00
https://baomoi.com/kms-healthcare-thanh-lap-trung-tam-phat-trien-phan-mem-tai-viet-nam-voi-400-nhan-su/c/43879735.epi,KMS Healthcare thành lập trung tâm phát triển phần mềm tại Việt Nam với 400 nhân sự,Tạp chí Kinh Tế Sài Gòn,2022-10-01T12:01:37+07:00
https://baomoi.com/de-nghi-tang-gia-san-xuat-chip-3nm-len-them-6-tsmc-bi-apple-thang-thung-tu-choi/c/43879705.epi,"Đề nghị tăng giá sản xuất chip 3nm lên thêm 6%, TSMC bị Apple thẳng thừng từ chối",Báo Tổ Quốc,2022-10-01T11:52:00+07:00
https://baomoi.com/cong-nghe-nhan-dien-khuon-mat-cua-vnpt-giup-viet-nam-dat-ky-luc-moi/c/43879639.epi,Công nghệ nhận diện khuôn mặt của VNPT giúp Việt Nam đạt kỷ lục mới,VietTimes,2022-10-01T11:44:00+07:00
https://baomoi.com/elon-musk-trinh-lang-robot-hinh-nguoi-optimus-gia-re-cac-chuyen-gia-phan-hoi-tich-cuc/c/43879626.epi,"Elon Musk trình làng robot hình người Optimus giá rẻ, các chuyên gia phản hồi tích cực",Tạp chí Một Thế Giới,2022-10-01T11:42:00+07:00
https://baomoi.com/lo-hong-microsoft-exchange-he-thong-may-chu-mail-mot-so-don-vi-bi-xam-nhap/c/43879656.epi,Lỗ hổng Microsoft Exchange: Hệ thống máy chủ mail một số đơn vị bị xâm nhập,Báo An Ninh Thủ Đô,2022-10-01T11:38:11+07:00
https://baomoi.com/tiktok-facebook-google-da-nop-bao-nhieu-tien-thue-tai-viet-nam/c/43879345.epi,"TikTok, Facebook, Google đã nộp bao nhiêu tiền thuế tại Việt Nam?",Báo Tiền Phong,2022-10-01T11:07:00+07:00
https://baomoi.com/canh-bao-ve-he-thong-may-chu-mail-mot-so-don-vi-da-bi-xam-nhap/c/43879338.epi,Cảnh báo về hệ thống máy chủ mail một số đơn vị đã bị xâm nhập,Tạp chí Một Thế Giới,2022-10-01T11:04:00+07:00
