url,title,publisher,time
https://baomoi.com/mua-biet-thu-tang-con-nhat-kim-anh-giau-co-nao-o-tuoi-u40/c/43870980.epi,"Mua biệt thự tặng con, Nhật Kim Anh giàu cỡ nào ở tuổi U40?",Báo Kiến Thức,2022-09-30T13:30:00+07:00
https://baomoi.com/dien-bien-moi-nhat-vu-khu-du-lich-xay-chui-giua-rung-o-tt-hue/c/43873133.epi,Diễn biến mới nhất vụ khu du lịch xây 'chui' giữa rừng ở TT-Huế,Báo Tiền Phong,2022-09-30T16:22:00+07:00
https://baomoi.com/quy-dinh-thoi-han-so-huu-nha-chung-cu-se-lam-tang-gia-nha-dat/c/43872261.epi,Quy định thời hạn sở hữu nhà chung cư sẽ làm tăng giá nhà đất?,Báo VietnamNet,2022-09-30T15:20:00+07:00
https://baomoi.com/bo-truong-nguyen-thanh-nghi-noi-ve-quy-dinh-thoi-han-so-huu-chung-cu/c/43873471.epi,Bộ trưởng Nguyễn Thanh Nghị nói về quy định thời hạn sở hữu chung cư,Báo Pháp Luật TP.HCM,2022-09-30T16:42:45+07:00
https://baomoi.com/quang-tri-se-thu-hoi-chu-truong-dau-tu-du-an-371-ti-dong/c/43873559.epi,Quảng Trị sẽ thu hồi chủ trương đầu tư dự án 371 tỉ đồng,Báo Pháp Luật TP.HCM,2022-09-30T16:54:42+07:00
https://baomoi.com/ngoi-nha-nho-voi-thiet-ke-thong-minh-o-pho-co/c/43873550.epi,Ngôi nhà nhỏ với thiết kế thông minh ở phố cổ,Báo Phụ Nữ Việt Nam,2022-09-30T16:49:00+07:00
https://baomoi.com/can-tho-1-chu-dau-tu-bi-chan-chinh-vi-rao-ban-can-ho-khong-dung-su-that/c/43873517.epi,Cần Thơ: 1 chủ đầu tư bị chấn chỉnh vì rao bán căn hộ không đúng sự thật,Báo Pháp Luật TP.HCM,2022-09-30T16:47:13+07:00
https://baomoi.com/dieu-chinh-qui-hoach-khong-vi-cong-dong/c/43873372.epi,Điều chỉnh qui hoạch không vì cộng đồng,Báo Công an Đà Nẵng,2022-09-30T16:37:00+07:00
https://baomoi.com/tp-ha-long-126-ho-dan-dong-y-hien-dat-de-trien-khai-thi-cong-2-du-an-trong-diem/c/43873165.epi,TP Hạ Long: 126 hộ dân đồng ý hiến đất để triển khai thi công 2 dự án trọng điểm,Báo Quảng Ninh,2022-09-30T16:24:43+07:00
https://baomoi.com/chu-trong-doi-thoai-giai-quyet-kien-nghi-nguyen-vong-chinh-dang-cua-nhan-dan/c/43873306.epi,"Chú trọng đối thoại, giải quyết kiến nghị, nguyện vọng chính đáng của Nhân dân",Đại Biểu Nhân Dân,2022-09-30T16:20:00+07:00
