url,title,publisher,time
https://baomoi.com/quoc-lo-1a-ngap-sau-trong-nuoc-o-to-noi-duoi-nhau-un-u-gan-2-cay-so/c/43872338.epi,"Quốc lộ 1A ngập sâu trong nước, ô tô nối đuôi nhau ùn ứ gần 2 cây số",Báo VTC News,2022-09-30T15:20:42+07:00
https://baomoi.com/tuoc-danh-hieu-cand-3-can-bo-cong-an-bao-luc-voi-2-thieu-nien/c/43871770.epi,Tước danh hiệu CAND 3 cán bộ công an bạo lực với 2 thiếu niên,Báo Công An Nhân Dân,2022-09-30T14:12:00+07:00
https://baomoi.com/nong-12-nguoi-tu-vong-tren-con-tau-dang-neo-cach-con-dao-63-hai-ly/c/43873335.epi,Nóng: 12 người tử vong trên con tàu đang neo cách Côn Đảo 63 hải lý,Báo Pháp Luật TP.HCM,2022-09-30T16:35:43+07:00
https://baomoi.com/qatar-lam-chu-nha-giai-u23-chau-a-2024/c/43872611.epi,Qatar làm chủ nhà giải U23 châu Á 2024,Tạp chí Tri Thức Trực Tuyến,2022-09-30T16:01:48+07:00
https://baomoi.com/quoc-lo-1a-ngap-sau-loat-o-to-xep-hang-dai-o-cua-ngo-mien-trung/c/43871886.epi,"Quốc lộ 1A ngập sâu, loạt ô tô xếp hàng dài ở cửa ngõ miền Trung",Báo VietnamNet,2022-09-30T14:51:00+07:00
https://baomoi.com/vot-chiec-vali-la-troi-noi-tren-song-nguoi-dan-soc-nang-khi-mo-ra/c/43866863.epi,"Vớt chiếc vali 'lạ' trôi nổi trên sông, người dân sốc nặng khi mở ra",Tạp chí SaoStar,2022-09-30T07:00:00+07:00
https://baomoi.com/ong-prayut-nhan-phan-quyet/c/43872519.epi,Ông Prayut nhận phán quyết,Tạp chí Tri Thức Trực Tuyến,2022-09-30T15:55:35+07:00
https://baomoi.com/nhung-nguoi-tho-dien-tram-minh-duoi-nuoc-khac-phuc-su-co-dien-sau-bao-noru/c/43872146.epi,Những người thợ điện trầm mình dưới nước khắc phục sự cố điện sau bão Noru,Báo Tiền Phong,2022-09-30T15:05:00+07:00
https://baomoi.com/chu-bo-doi-con-cua-don-bien-phong-tuy-hoa/c/43868820.epi,'Chú bộ đội con' của Đồn Biên phòng Tuy Hòa,Báo VTC News,2022-09-30T09:43:00+07:00
https://baomoi.com/du-khach-quoc-te-cung-nguoi-dan-hoi-an-don-ve-sinh-sau-bao-so-4/c/43870005.epi,Du khách quốc tế cùng người dân Hội An dọn vệ sinh sau bão số 4,Báo VOV,2022-09-30T11:18:00+07:00
https://baomoi.com/chua-xac-dinh-duoc-quoc-tich-cua-7-thi-the-troi-dat-vao-bo-bien-phu-quoc/c/43873095.epi,Chưa xác định được quốc tịch của 7 thi thể trôi dạt vào bờ biển Phú Quốc,Báo Người Lao Động,2022-09-30T16:18:36+07:00
https://baomoi.com/mua-lu-mien-trung-lam-6-nguoi-thiet-mang-va-mat-tich/c/43873542.epi,Mưa lũ miền Trung làm 6 người thiệt mạng và mất tích,Báo Điện tử Đảng cộng sản VN,2022-09-30T16:52:00+07:00
https://baomoi.com/thanh-lap-ban-chi-dao-trien-khai-du-an-duong-vanh-dai-4-vung-thu-do-ha-noi/c/43873764.epi,Thành lập Ban Chỉ đạo triển khai Dự án đường Vành đai 4 - Vùng Thủ đô Hà Nội,Báo Hà Nội Mới,2022-09-30T16:50:00+07:00
https://baomoi.com/cuu-thu-truong-bo-y-te-truong-quoc-cuong-duoc-giam-an-tu/c/43873277.epi,Cựu Thứ trưởng Bộ Y tế Trương Quốc Cường được giảm án tù,Báo VietnamNet,2022-09-30T16:28:00+07:00
https://baomoi.com/myanmar-may-bay-cho-khach-bi-tan-cong-khi-ha-canh-gan-san-bay-loikaw/c/43873024.epi,Myanmar: Máy bay chở khách bị tấn công khi hạ cánh gần sân bay Loikaw,Báo VietnamPlus,2022-09-30T16:12:00+07:00
https://baomoi.com/ha-noi-cay-co-thu-bat-ngo-bat-goc-do-trung-mot-nguoi-phu-nu-dang-di-xe-may/c/43872765.epi,"Hà Nội: Cây cổ thụ bất ngờ bật gốc, đổ trúng một người phụ nữ đang đi xe máy",Báo Infonet,2022-09-30T15:57:00+07:00
https://baomoi.com/tuyen-bo-dao-nha-dam-de-ronaldo-du-bi/c/43873615.epi,Tuyển Bồ Đào Nha dám để Ronaldo dự bị?,Tạp chí Tri Thức Trực Tuyến,2022-09-30T17:15:51+07:00
https://baomoi.com/ba-nguyen-phuong-hang-duoc-gia-dinh-moi-luat-su-noi-tieng-bao-chua/c/43871179.epi,Bà Nguyễn Phương Hằng được gia đình mời luật sư nổi tiếng bào chữa,Báo VietnamNet,2022-09-30T13:55:00+07:00
https://baomoi.com/cho-futsal-viet-nam-giai-ma-dia-chan-saudi-arabia/c/43870468.epi,Chờ futsal Việt Nam giải mã 'địa chấn' Saudi Arabia,Tạp chí Tri Thức Trực Tuyến,2022-09-30T12:19:58+07:00
https://baomoi.com/nguoi-viet-sap-duoc-mua-o-to-xe-may-gia-re/c/43872661.epi,"Người Việt sắp được mua ô tô, xe máy giá rẻ",Báo Pháp Luật TP.HCM,2022-09-30T15:48:05+07:00
https://baomoi.com/my-ra-thong-bao-quan-trong-ve-mau-ho-chieu-moi-cua-viet-nam/c/43870936.epi,Mỹ ra thông báo quan trọng về mẫu hộ chiếu mới của Việt Nam,Tạp chí Tri Thức Trực Tuyến,2022-09-30T13:38:31+07:00
https://baomoi.com/mot-pho-giam-doc-trung-tam-hanh-chinh-cong-bi-dinh-chi-cong-tac-sau-to-cao-cua-co-gai/c/43873519.epi,Một Phó giám đốc Trung tâm hành chính công bị đình chỉ công tác sau tố cáo của cô gái,Báo Người Lao Động,2022-09-30T16:50:58+07:00
