url,title,publisher,time
https://baomoi.com/shark-binh-thay-co-loi-voi-cac-con-va-phuong-oanh/c/43873059.epi,Shark Bình thấy có lỗi với các con và Phương Oanh,Báo VietnamNet,2022-09-30T16:16:00+07:00
https://baomoi.com/nhat-ky-noru-chuyen-gio-moi-ke/c/43873311.epi,Nhật ký 'Noru' – chuyện giờ mới kể,Báo Sức Khỏe & Đời Sống,2022-09-30T16:32:00+07:00
https://baomoi.com/nu-sinh-14-tuoi-co-giat-mat-y-thuc-sau-khi-hut-thu-thuoc-la-dien-tu/c/43872846.epi,"Nữ sinh 14 tuổi co giật, mất ý thức sau khi hút thử thuốc lá điện tử",Báo VOV,2022-09-30T15:54:00+07:00
https://baomoi.com/nguoi-phu-nu-bi-ung-thu-dai-truc-trang-vi-loai-do-uong-quen-thuoc/c/43872919.epi,Người phụ nữ bị ung thư đại trực tràng vì loại đồ uống quen thuộc,Báo Phụ Nữ Việt Nam,2022-09-30T16:00:00+07:00
https://baomoi.com/12-tuyet-chieu-giup-ban-tro-thanh-phu-huynh-kieu-mau-de-con-cai-noi-theo/c/43873184.epi,12 tuyệt chiêu giúp bạn trở thành 'phụ huynh kiểu mẫu' để con cái noi theo,Báo Tổ Quốc,2022-09-30T16:21:00+07:00
https://baomoi.com/trong-ngay-co-1-thoi-diem-an-uong-lam-tang-nguy-co-mac-ung-thu/c/43873185.epi,Trong ngày có 1 thời điểm ăn uống làm tăng nguy cơ mắc ung thư,Báo Phụ Nữ Việt Nam,2022-09-30T16:20:00+07:00
https://baomoi.com/hai-ba-trung-ha-noi-kham-tu-van-suc-khoe-cho-nguoi-cao-tuoi-co-don-co-hoan-canh-kho-khan/c/43873161.epi,"Hai Bà Trưng (Hà Nội): Khám, tư vấn sức khỏe cho người cao tuổi cô đơn, có hoàn cảnh khó khăn",Báo Gia Đình & Xã Hội,2022-09-30T16:18:00+07:00
https://baomoi.com/nguoi-dan-ong-tim-thay-khuyen-mui-trong-phoi-sau-5-nam-that-lac/c/43873214.epi,Người đàn ông tìm thấy khuyên mũi trong phổi sau 5 năm thất lạc,Báo VietnamPlus,2022-09-30T16:12:00+07:00
https://baomoi.com/huong-dan-ky-thuat-tiem-insulin-cho-benh-nhan-dai-thao-duong/c/43872990.epi,Hướng dẫn kỹ thuật tiêm Insulin cho bệnh nhân đái tháo đường,Báo VietnamNet,2022-09-30T16:10:00+07:00
https://baomoi.com/tai-nan-dien-giat-mua-mua-bao-phong-va-xu-tri-the-nao/c/43873076.epi,"Tai nạn điện giật mùa mưa bão, phòng và xử trí thế nào?",Báo Sức Khỏe & Đời Sống,2022-09-30T16:08:00+07:00
https://baomoi.com/dot-pha-bat-ngo-ve-cach-chua-tri-ung-thu/c/43872838.epi,Đột phá bất ngờ về cách chữa trị ung thư,Tạp chí Tri Thức Trực Tuyến,2022-09-30T16:15:57+07:00
https://baomoi.com/nu-sinh-14-tuoi-hon-me-sau-khi-hut-thuoc-la-dien-tu/c/43872866.epi,Nữ sinh 14 tuổi hôn mê sau khi hút thuốc lá điện tử,Báo Giáo Dục & Thời Đại,2022-09-30T16:00:00+07:00
https://baomoi.com/ba-duong-chat-lam-mo-nep-nhan-day-lui-lao-hoa-da/c/43872891.epi,"Ba dưỡng chất làm mờ nếp nhăn, đẩy lùi lão hóa da",Báo Gia Đình & Xã Hội,2022-09-30T16:00:00+07:00
https://baomoi.com/viet-nam-co-hon-300-000-nguoi-dang-chung-song-voi-benh-ung-thu/c/43872704.epi,Việt Nam có hơn 300.000 người đang 'chung sống' với bệnh ung thư,Báo VietnamPlus,2022-09-30T15:54:00+07:00
https://baomoi.com/shark-binh-khang-dinh-phuong-oanh-va-cac-con-la-nguoi-dang-thuong-nhat-trong-drama-binh-bup-be/c/43872745.epi,Shark Bình khẳng định Phương Oanh và các con là người đáng thương nhất trong drama 'Bình búp bê',Tạp chí SaoStar,2022-09-30T15:53:00+07:00
https://baomoi.com/be-gai-bi-da-chan-thuong-nguy-kich-phoi-trang-xoa-phai-dat-ecmo/c/43872675.epi,"Bé gái bị đa chấn thương nguy kịch, phổi trắng xóa phải đặt ECMO",Báo VietnamNet,2022-09-30T15:50:00+07:00
